id;distances_Q1;distances_Q2;distances_Q3;distances_Q4
1060009; 18819,2866;    0,0000;16998,4223; 19337,03188
1060006; 23786,4088;10859,7543;11686,5101; 34707,11615
1002004; 39821,8714;13752,3009;    0,0000; 22670,17093
1002001; 20749,4685;17103,5633; 9798,9048; 23894,45070
1077001;  5728,6714;10716,6218;    0,0000; 15548,10245
1060003; 24516,1858;14998,0830;31479,8409; 10998,65174
1054006; 73401,3064;    0,0000;12174,5964; 11856,90787
1075001;     0,0000;    0,0000;12013,1259;   464,64112
1075002;     0,0000;  161,4098; 5465,2752;     0,00000
1050004;180327,0614; 1604,1184;    0,0000; 39048,31418
1050006;189671,1462;21555,8468;    0,0000; 37721,53282
1057004; 14105,0424; 8399,7995;26148,9224; 26095,60973
1027003; 49491,4676;10446,9771; 8238,3526; 14036,08009
1055005; 25150,4614;49409,1133;20026,0527; 19185,59544
1060001; 32586,1711;24394,5976;40881,6926;     0,00000
1060005; 46209,3979;    0,0000;17938,6122; 36191,96227
1025001;  7155,2289;18338,7406;44140,7830; 19855,34993
1025003; 27552,9947;12333,4659;11960,2544;  7458,78790
1044008;  3366,5510;60702,0232;20584,8451; 15563,19502
1049007; 64909,2131;13289,7306;46643,5482; 18499,38131
1049008; 48345,8661;16241,0755;20614,3906; 14570,71195
1039002; 80755,3587;12216,9971;    0,0000; 16493,83734
1071003;107185,3738; 1798,4332; 7221,0143;     0,00000
1021004; 81062,0795; 9416,9509;11905,2300;     0,00000
1037007; 16080,3190; 4972,6825;39594,4251;     0,00000
1037003;     0,0000;    0,0000;11253,2079; 16169,07684
1025006;  1681,8791; 4125,7412;40590,9898; 43285,45484
1037001;  8712,1518;    0,0000;49922,3874; 12987,80479
1089001;104320,8998; 5536,6275;36192,5165;     0,00000
1058002;116631,2485;    0,0000;65458,8775; 27167,65470
1058006; 90041,3598;    0,0000;64686,0063; 12492,26278
1070002; 40192,0224;    0,0000;18168,9010; 13308,23668
1049001; 61763,5180;26473,7789;20742,8009;     0,00000
1049005; 26548,1364;13472,5800;    0,0000; 18022,57328
1079006; 26786,0787; 8714,0314;18399,7431; 40467,64343
1049002; 43415,1852;25261,0161;10977,7008; 11704,98869
1021006;122767,3972;    0,0000;33345,2261; 22782,66508
1058001;113384,6059;25567,3740;21283,2092; 35091,03600
1071001;118365,7306;30146,2932;    0,0000; 19322,62758
1058003;113494,8088;12435,1994;36797,5046; 31231,57732
1079001; 48148,0665; 8448,3334;19964,9313; 33970,94810
1085006; 60793,0173; 9484,3395;37432,2930; 23999,19154
1039001; 56866,3271;    0,0000;    0,0000; 27192,00292
1025005; 66085,0732;13385,6202; 6631,7588;  7922,25690
1021002;126683,8172;40375,6834;    0,0000; 15907,93161
1021007; 93870,0101;23938,3750; 7126,5366; 14726,16280
1058008; 70110,6020; 8268,7166;51089,2248;     0,00000
1044006; 29124,6492;44007,6506;44355,7136; 10552,50928
1044007; 30302,7707;43438,6605;47513,2834;     0,00000
1058004; 94289,6118;    0,0000;61285,7676; 35143,29776
1044009; 18868,2255;44383,3082;29121,3337; 18093,06500
1041005; 13007,7966; 9642,3845;41817,5400;  9930,56308
1037005;     0,0000;17735,7634;29295,1017; 21290,53801
1044004; 54250,1775;17749,5100;66153,7494;  5585,82975
1044001; 59365,1199;34262,9588;53559,9700; 17062,39430
1018004; 83192,7675;  851,5822;39435,5370; 14494,85874
1063004; 60375,7894; 8744,1141;64547,9721;     0,00000
1071004; 80449,7547;10434,0619;  523,2766; 26281,04237
1063007; 43450,5353;15805,8673;44973,2671;     0,00000
1016005; 48259,1253;18060,1851;45787,4677; 11598,85359
1046006; 56777,5254;12259,7619;27399,0301; 81986,81628
1024009; 54542,8998;18744,7399;32928,3292; 74431,87071
1022003; 53752,5585;    0,0000;20004,9564; 63369,47612
1016004; 45369,7901; 4707,3849;65382,9357; 29291,18781
1029002; 29566,8191;34627,2484;13904,2434; 39146,10694
1022005; 66784,4087;10814,4949;13506,9015; 65022,50311
1014001;155378,9694;28818,3684;    0,0000; 17338,21880
1050002;197079,6358; 9092,6109;11936,4369; 27251,73143
1067005; 10546,6697;    0,0000; 7786,1253; 30721,50141
1062002; 16696,3802;32086,5850;25935,3817;  5673,81134
1029007; 43675,2381;62631,2651; 1391,4596; 31777,93136
1029003; 33925,1300;39406,6311; 8766,7320;  6242,57973
1040001; 18794,7542;    0,0000;45486,3988;  3781,64144
1064005; 51953,5029;    0,0000;16289,9993;     0,00000
1021005; 72916,2314;12484,6871;25792,2164; 11229,40767
1029004; 57551,5499;21092,7318;10156,1449;  4848,38030
1029001; 82820,3823;10909,3930;37764,7952;     0,00000
1056001; 29906,1937;41839,0734; 8561,8251; 13752,11193
1056002;  5305,1578;49723,7713;30513,0087;     0,00000
1029009;     0,0000;66842,4416;16199,9494; 12104,06118
1066001; 36311,0179;14374,8011;20628,3682;  4347,22671
1066003;  1101,7745;28041,9789;39978,4652; 20983,27268
1009003; 18187,9412; 8492,3619;36851,0485; 49334,27354
1066002; 48860,1223;    0,0000;31322,9405;     0,00000
1083004; 10459,1867;18931,0294; 6581,4390; 32062,63981
1083008; 11495,6162; 4757,9740; 6365,2710;  5834,64971
1012002; 32307,3967;    0,0000;18449,2167; 55158,93559
1004002; 11974,3036;36217,0875;25288,4806; 33193,97605
